Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,BREATHABLE CONTAINER SEAL,07-02-2014,14-08-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONTAINER PANEL,22-02-2011,25-10-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CRISPY FLOUR TAQUITO,12-01-2005,25-05-2006,27-04-2010,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,SMILE CREASES FOR A CONTAINER,24-06-2010,24-01-2012,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PACKAGE WITH PEEL-OFF CLOSURE,12-05-2006,14-12-2006,27-04-2010,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT PACKAGE CONTAINER,25-06-2010,15-02-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PROCESS FOR PREPARING GOLDEN YELLOW  POTATO PIECES AND PRODUCT THEREOF,17-01-1995,16-01-1996,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,DISPENSER,25-06-2010,29-11-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,EMULSIFIED FOOD PRODUCT,08-10-2010,12-05-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Method of making mashable potatoes,24-10-2008,28-05-2009,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Dispensing cap having serum trap,09-05-2000,26-02-2002,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CUTTER BLADE AND METHOD MAKING AND USING THE SAME,27-06-2013,02-01-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,GREEN PACKAGING,23-09-2011,29-03-2012,21-05-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Process for preparing potato products having reduced trans-fat levels,09-08-2006,14-02-2008,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,HYBRID VARIETIES H1292 AND H1293,05-12-2013,12-06-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,BOWL,26-10-2005,30-10-2007,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT PACKAGE CADDY HANDLE,25-06-2010,19-04-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,MULTI-TEMP SQUARE TRAY DESIGN,16-04-2013,07-11-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT BOTTLE,06-02-2012,31-05-2012,21-10-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PROCESS FOR MAKING MICROWAVABLE FRENCH FRIES,18-08-2003,24-02-2005,19-09-2006,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,MULTI-TEMPERATURE AND MULTI-TEXTURE FROZEN FOOD MICROWAVE HEATING TRAY,30-12-2010,20-10-2011,21-05-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,MICROWAVE COOKING TRAY WITH POP-UP LEGS,14-07-2011,26-07-2012,04-06-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,MICROWAVEABLE CARTON HAVING MULTIPLE FOCUSED SUSCEPTORS,22-09-2009,25-03-2010,24-06-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PACKAGING FOR FOOD PRODUCTS,05-06-2013,17-10-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT PACKAGE AND PACKAGING MATERIAL HAVING EXTENDED SHELF-LIFE,21-10-2010,28-04-2011,26-08-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CUTTER BLADE,29-06-2012,24-02-2015,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,BOTTLE,24-01-2001,18-03-2003,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PACKAGE OF CONTAINERS,25-06-2010,28-12-2010,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONTAINER,07-02-2001,27-08-2002,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,METHOD OF MAKING A TETRAHEDRON PACKAGE,23-10-2007,23-04-2009,16-06-2009,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PROCESS OF PREPARING FROZEN FRENCH FRIED POTATO PRODUCT,18-03-2002,31-10-2002,29-11-2005,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,OVENABLE BAG CONVERTIBLE INTO A BAKING SHEET,14-03-2013,18-09-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,HYBRID VARIETY H1176 WITH HIGH LYCOPENE,29-03-2013,08-05-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,STRIPING ORNAMENTATION FOR A CONTAINER,24-01-2001,15-07-2003,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Packaging for Food Products,20-07-2009,10-12-2009,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Microwave cooking tray with pop-up legs,24-06-2008,24-12-2009,04-06-2013,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT CONTAINER,10-11-2011,29-05-2012,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,DISPENSER BANNER,25-06-2010,12-07-2011,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Dilutable products,05-05-2006,21-12-2006,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PROBIOTIC COMPOSITIONS AND METHODS,07-08-2014,25-12-2014,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,CONDIMENT PACKAGE,18-02-2010,17-08-2010,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,COLORED AND/OR FLAVORED FROZEN FRENCH FRIED POTATO PRODUCT AND METHOD OF MAKING,18-03-2002,17-10-2002,15-02-2005,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PROCESSING METHOD FOR MICROWAVABLE FRENCH FRIES,16-08-2006,21-12-2006,04-10-2011,
KILPATRICK TOWNSEND & STOCKTON LLP,HARDER DONALD R. - SIDERS DANIEL D. - ,QUINTILES TRANSNATIONAL CORPORATION - ,Methods and Systems for Predictive Clinical Planning and Design and Integrated Execution Services,24-06-2013,26-12-2013,
BIRCH STEWART KOLASCH & BIRCH LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,SLAG-MELTING BURNER APPARATUS,12-04-2011,03-11-2011,
DICKE BILLIG & CZAJA,HULTGREN NATHANIEL L. - REEK DANIEL C. - HEINE JAMES - ,DRY GRAIN LLC - ,RADIO FREQUENCY DRYING OF HARVESTED MATERIAL,25-03-2014,25-09-2014,
FOLEY & LARDNER LLP,STEIN ALEXANDER - ,JOHNSON CONTROLS GMBH - ,HEAD RESTRAINT HAVING AN ANTI-TURN MECHANISM,05-09-2013,21-08-2014,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,BACK SUPPORT DEVICE,19-11-2010,08-05-2012,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,PORTABLE EXERCISE DEVICE,25-02-2010,22-03-2011,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,SELF ADJUSTING VENOUS EQUALIZING GRAFT AND ENDOTHELIAL LINING THEREFOR,20-09-2010,13-01-2011,06-05-2014,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,BYPASS VASCULAR GRAFT,17-08-2011,26-01-2012,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,PORTABLE EXERCISE APPARATUS AND METHOD,07-12-2010,09-06-2011,31-12-2013,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,ENDOTHELIAL SCAFFOLD GRAFT AND METHOD THEREFOR,20-09-2010,13-01-2011,01-04-2014,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,ADJUSTABLE STENOSIS AND METHOD THEREFOR,20-09-2010,20-01-2011,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,ANTI-WRINKLE FABRIC ARRANGEMENT,13-02-2012,13-09-2012,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,SELF ADJUSTING VENOUS EQUALIZING GRAFT,12-03-2010,16-09-2010,02-12-2014,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,Bypass Configuration and Method of Construction,29-11-2013,22-05-2014,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,EXERCISE APPARATUS AND METHOD THEREFOR,10-03-2011,13-10-2011,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,INTRAVENOUS FILTER WITH FLUID OR MEDICATION INFUSION CAPABILITY,30-05-2013,10-10-2013,24-02-2015,
CHAD W. MILLER,ACHSTEIN STEVEN - ,MYOPOWER INC. - ,HAND EXERCISING DEVICE,25-08-2010,25-10-2011,
DORITY & MANNING P.A. AND TICONA LLC,JOHNSON AARON - EASTEP DAVID W. - STIEHM RICHARD - ,TICOAN LLC - ,ROD ASSEMBLY AND METHOD FOR FORMING ROD ASSEMBLY,11-06-2013,12-12-2013,
ANTHONY G. FUSSNER,GRESKO JOHNNY J. - ,DIRECT SOUND HEADPHONES LLC - ,AMBIENT NOISE ISOLATION AUDIO HEADPHONES HAVING A LAYERED DAMPENING STRUCTURE,17-01-2006,14-12-2010,
YOUNG & THOMPSON,CTD CORE TECHNOLOGY DEVELOPMENT DIVISION (NEC CASIO MOBILE COMMUNICATIONS) NEC TECHNOLOGIES (UK) LTD - ,NEC CORPORATION - ,METHOD AND SYSTEM FOR MEASURING NETWORK OPERATION RELATED PARAMETERS IN A MOBILE COMMUNICATION NETWORK,21-03-2014,10-07-2014,
HUNTON & WILLIAMS LLP,SEIGNEURIN ALINE - FOUCAULT CAROLE - ,RHODIA OPERATIONS - ,Cosmetic Composition Comprising An Ampholytic Copolymer,26-03-2012,19-07-2012,
KILPATRICK TOWNSEND & STOCKTON LLP,GOODGAME JOSEPH WILLIAM CHARLES - NICHOLS GAVIN DAVID THOMAS - BRANT WADE KENNETH - ,QUINTILES TRANSNATIONAL CORPORATION - ,Systems and Methods for Analytics on Viable Patient Populations,24-06-2013,26-12-2013,
MARK D. KIRKLAND,LESTER CHAD - VEACH ERIC - ,GOOGLE INC. - ,ENCODING AD AND/OR AD SERVING INFORMATION IN A CLICK URL,25-03-2011,14-07-2011,
VALERIE BRENNAN HOGAN LOVELLS US LLP,U.S. BANK NATIONAL ASSOCIATION - ,CHARTER NEX FILMS INC. FORMERLY KNOWN AS AMERICAN PLASTICS COMPANY INC. AND SUCCESSOR BY MERGER WITH NEW ENGLAND EXTRUSION INC. - CHARTER NEX HOLDING COMPANY FORMERLY KNOWN AS NEX PERFORMANCE FILMS INC. - ,Laminate with Aroma Burst,23-06-2009,23-12-2010,
VALERIE BRENNAN HOGAN LOVELLS US LLP,U.S. BANK NATIONAL ASSOCIATION - ,CHARTER NEX FILMS INC. FORMERLY KNOWN AS AMERICAN PLASTICS COMPANY INC. AND SUCCESSOR BY MERGER WITH NEW ENGLAND EXTRUSION INC. - CHARTER NEX HOLDING COMPANY FORMERLY KNOWN AS NEX PERFORMANCE FILMS INC. - ,CONTROLLED COF FILMS,05-12-2003,11-09-2007,
VALERIE BRENNAN HOGAN LOVELLS US LLP,U.S. BANK NATIONAL ASSOCIATION - ,CHARTER NEX FILMS INC. FORMERLY KNOWN AS AMERICAN PLASTICS COMPANY INC. AND SUCCESSOR BY MERGER WITH NEW ENGLAND EXTRUSION INC. - CHARTER NEX HOLDING COMPANY FORMERLY KNOWN AS NEX PERFORMANCE FILMS INC. - ,LAP SEALABLE LAMINATE AND PACKAGING MADE THEREFROM,15-03-2010,23-09-2010,
NOTARO MICHALOS & ZACCARIA P.C.,KUSTIN CORP. - ,KUAUTLI MEDIA INVESTMENTS ZRT. - ,Method and Apparatus for Content Delivery,27-03-2014,31-07-2014,
NOTARO MICHALOS & ZACCARIA P.C.,KUSTIN CORP. - ,KUAUTLI MEDIA INVESTMENTS ZRT. - ,END OF SHOW HANDLING,17-04-2014,14-08-2014,
QUALCOMM INCORPORATED,VICISANO LORENZO - ,QUALCOMM INCORPORATED - ,ENHANCED BLOCK-REQUEST STREAMING SYSTEM FOR HANDLING LOW-LATENCY STREAMING,26-04-2012,03-01-2013,
NOVICK KIM & LEE PLLC,LEE WON-SUK - ,GLIZZLY CO. LTD. - ,METHOD AND APPARATUS FOR FINDING CLUSTER IN DATA STREAM AS INFINITE DATA SET HAVING DATA OBJECTS TO BE CONTINUOUSLY GENERATED,27-02-2008,30-04-2009,02-08-2011,
GEORGE LIKOUREZOS ESQ.,YOUNG MICHAEL JOHN RADLEY - ,ORTHOSONICS LIMITED - ,OSTEOTOME,19-11-2007,07-08-2008,18-11-2014,
DAVID D. BRUSH,CARLACH JEAN-CLAUDE - OUESLATI BRAHIM - ,ORANGE - ,Error Corrector Coding and Decoding,08-04-2014,18-09-2014,
ALLERGAN INC.,GORALTCHOUK ALEXEI - THOMPSON JORDAN M. - ABIAD MIRIAM M. - MA KEVIN A. - VAN EPPS DENNIS E. - MANESIS NICK J. - ,ALLERGAN INC. - ,FOAM-LIKE MATERIALS AND METHODS FOR PRODUCING SAME,06-02-2014,05-06-2014,
DAVID D. BRUSH,DERHAM THOMAS - COUPE PATRICE - ,FRANCE TELECOM - ,OBJECT DETECTION METHOD DEVICE AND SYSTEM,13-03-2013,11-07-2013,
DAVID D. BRUSH,ASSADI HOUSSEM - LEVIONNAIS PHILIPPE - ,ORANGE - ,METHOD AND A DEVICE FOR IDENTIFYING THE POSITION OF A TRANSPONDER,30-09-2013,23-01-2014,
HITT GAINESS P.C./NVIDIA,KRASHINSKY RONNY - LLAMAS IGNACIO - KHAILANY BRUCEK - ,NVIDIA CORPORATION - ,SYSTEM AND METHOD FOR VERSIONING BUFFER STATES AND GRAPHICS PROCESSING UNIT INCORPORATING THE SAME,13-12-2012,19-06-2014,
VORYS SATER SEYMOUR AND PEASE LLP,HENKIN OR - LINN DIDI - ,PUNDAK AMIR - ,PLASTIC-BOTTLE COMPACTOR,25-07-2014,25-12-2014,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,ADAPTABLE RETAIL PRICING ENVIRONMENT AND ELECTRONIC EXCHANGE DELIVERING CUSTOMIZED BRAND SWITCHING REWARDS AND DISCOUNTS,25-03-2011,01-12-2011,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,BOTTLE,21-04-2008,13-10-2009,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,SimpleNutrition Nutritional Management System,15-03-2013,29-08-2013,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,NUTRITION MANAGEMENT AND MEAL PLANNING PROGRAM,16-05-2007,10-04-2008,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,Consumer Health Incentive Program,16-07-2013,23-01-2014,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,SHOPPING BAG WITH INSTRUCTIONAL GRAPHIC,26-09-2007,11-08-2009,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,BAG STRAP,26-09-2007,09-06-2009,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,Securable Consumer Goods Transportation Apparatus,25-09-2007,26-03-2009,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,Payment Program for Use in Point-of-Sale Transactions,12-03-2013,25-07-2013,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,ADAPTABLE RETAIL PRICING ENVIRONMENT AND ELECTRONIC EXCHANGE DELIVERING CUSTOMIZED RETAILER OPPORTUNITY REWARDS AND DISCOUNTS,25-03-2011,24-11-2011,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,ADAPTABLE RETAIL PRICING ENVIRONMENT AND ELECTRONIC EXCHANGE DELIVERING CUSTOMIZED MOBILE SHOPPER REWARDS AND DISCOUNTS,25-03-2011,24-11-2011,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,ADAPTABLE RETAIL PRICING ENVIRONMENT AND ELECTRONIC EXCHANGE DELIVERING CUSTOMIZED SHOPPER REWARDS,25-03-2011,24-11-2011,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,PAYMENT PROGRAM FOR USE IN POINT-OF-SALE TRANSACTIONS,25-07-2006,25-01-2007,19-10-2010,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,ADAPTABLE RETAIL PRICING ENVIRONMENT AND ELECTRONIC EXCHANGE DELIVERING CUSTOMIZED BUYER PROMOTION REWARDS AND DISCOUNTS,25-03-2011,24-11-2011,11-03-2014,
DORIS KA LEGAL ASSISTANT,SAFEWAY INC. - ,CREDIT SUISSE AG CAYMAN ISLANDS BRANCH AS AGENT - ,Generation and Provision of Directed Sales Incentives at Locations Remote from the Point of Sale,26-11-2012,04-07-2013,
KILPATRICK TOWNSEND & STOCKTON LLP,GOODGAME JOSEPH WILLIAM CHARLES - ,QUINTILES TRANSNATIONAL CORPORATION - ,Systems and Methods for Subject Identification (ID) Modeling,24-06-2013,26-12-2013,
LDLK&M,RATASUK RAPEEPAT - XIAO WEIMIN - GHOSH AMITABHA - ,MOTOROLA INC. - ,METHOD FOR UPLINK ACKNOWLEDGEMENT/NON-ACKNOWLEDGEMENT MESSAGES IN A WIRELESS COMMUNICATION SYSTEM,17-06-2014,02-10-2014,
BARB STIEVE,ZHU LINDA YI-PING - ,DOW CHEMICAL (CHINA) COMPANY LIMITED - ,CUTTING FLUIDS WITH IMPROVED PERFORMANCE,05-04-2012,02-08-2012,
CHEVRON CORPORATION - LAW DEPARTMENT,SHEFFIELD TATUM MICHAEL - PAYNE BARTON A. - DEAL KEVIN L. - ,CHEVRON U.S.A. INC. - ,SYSTEM AND METHOD FOR ANALYZING SEISMIC DATA BACKGROUND,30-09-2011,04-04-2013,
BAKER & HOSTETLER LLP,PHYSIO-CONTROL INC. - ,WEST AFFUM HOLDINGS CORP. - ,Wearable Defibrillator With A Multivector Shock Waveform,25-02-2014,28-08-2014,
BARB STIEVE,DOW CHEMICAL (CHINA) COMPANY LIMITED - ,THE DOW CHEMICAL COMPANY - ,CUTTING FLUIDS WITH IMPROVED PERFORMANCE,05-04-2012,02-08-2012,
QUALCOMM INCORORATED,VICISANO LORENZO - ,QUALCOMM INCORPORATED - ,ENHANCED BLOCK-REQUEST STREAMING SYSTEM USING SIGNALING OR BLOCK CREATION,21-09-2010,29-09-2011,
ROBERT J. WARD,KEILHAUER EDWARD - ,EDWARD KEILHAUER MARKETING INCORPORATED - ,TOTAL SPINAL SUPPORT,07-06-2002,11-12-2003,29-11-2005,
PAUL D. GREELEY ESQ.,KOREA ELECTRONICS TECHNOLOGY - ,SK TELECOM CO. LTD. - ,COLOR ELECTRONIC PAPER USING RGBW COLOR PARTICLES AND DRIVING METHOD THEREOF,23-11-2010,26-05-2011,
CHRISTOPHER N. HUNTER,RECOGNIA INC. - ,HSBC FRANCE - ,METHOD FOR CATEGORIZING PIVOT POINTS IN TECHNICAL ANALYSIS,17-09-2002,03-04-2003,14-12-2010,
CHRISTOPHER N. HUNTER,RECOGNIA INC. - ,HSBC FRANCE - ,METHOD FOR CHART MARKUP AND ANNOTATION IN TECHNICAL ANALYSIS,17-12-2002,10-07-2003,05-10-2004,
CHRISTOPHER N. HUNTER,RECOGNIA INC. - ,HSBC FRANCE - ,METHOD OF RULE CONSTRAINED STATISTICAL PRICE FORMATION RECOGNITION,11-12-2002,24-07-2003,23-12-2008,
CHRISTOPHER N. HUNTER,RECOGNIA INC. - ,HSBC FRANCE - ,METHOD OF PROVIDING A FINANCIAL EVENT IDENTIFICATION SERVICE,11-12-2002,12-06-2003,23-12-2008,
CHRISTOPHER N. HUNTER,RECOGNIA INC. - ,HSBC FRANCE - ,TECHNICAL ANALYSIS FORMATION RECOGNITION USING PIVOT POINTS,17-09-2002,03-04-2003,16-11-2010,
DIRECTOR DEITR,UNIVERSITY OF ROCHESTER - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,METHOD AND COMPOSITION FOR ALVEOLAR EPITHELIAL CELL-SPECIFIC NUCLEIC ACID NUCLEAR IMPORT,07-12-2012,01-08-2013,
GESMER UPDEGROVE LLP,SUN YING - RIEGER ROBERT - ,RHODE ISLAND BOARD OF EDUCATION STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS - ,APPARATUS FOR MEMRISTOR/NEURON EMULATION AND TESTING,29-03-2013,06-02-2014,
EUGENE F. DERENYI,GOODMAN JESSE BRUCE - ,VITALSINES INC. - ,HYPOTHENAR SENSOR,07-02-2013,13-06-2013,
HISCOCK & BARCLAY LLP,PPC BROADBAND INC. - ,JM WIRELESS LLC - ,COMPRESSION CONNECTOR FOR CLAMPING/SEIZING A COAXIAL CABLE AND AN OUTER CONDUCTOR,26-10-2012,11-07-2013,
WARE FRESSOLA MAGUIRE & BARBER LLP,BRINCKER RUNE - ,AARHUS UNIVERSITET - ,Method For Improving Determination Of Mode Shapes For A Mechanical Structure And Applications Hereof,09-07-2013,07-11-2013,
COOLEY LLP,TRIPATHI KARTIKEYA - ,CURRENT TECHNOLOGIES LLC - ,SENSOR DEVICE AND METHOD OF MANUFACTURE AND USE,16-05-2013,21-11-2013,
KILPATRICK TOWNSEND & STOCKTON LLP,BRANT WADE KENNETH - NICHOLS GAVIN THOMAS - GOODGAME JOSEPH WILLIAM CHARLES - ,QUINTILES TRANSNATIONAL CORPORATION - ,Systems and Methods For Predictive  Analytics for Site Initiation and Patient Enrollment,24-06-2013,26-12-2013,
